类别,precision,recall,f1-score,support,accuracy,AP,AUC
彗星,0.7647058823529411,0.9629629629629628,0.8524590163934426,27.0,0.8728813559322034,0.9465934462070498,0.9837971477886873
地球,0.8540145985401459,0.841726618705036,0.8478260869565217,139.0,0.9195979899497488,0.9498489988024706,0.9883391892317451
木星,0.8551401869158879,0.9195979899497488,0.8861985472154964,199.0,0.8733333333333333,0.901315455278709,0.9823842195540308
火星,0.7948717948717948,0.62,0.6966292134831461,50.0,0.8434782608695652,0.9436020585823528,0.9924048799913114
水星,0.75,0.7358490566037735,0.7428571428571429,106.0,0.7142857142857143,0.8018894189933947,0.9643805063008809
月球,0.9035087719298246,0.8728813559322034,0.8879310344827587,118.0,0.8708133971291866,0.900786939144555,0.980869888443701
海王星,0.8584905660377359,0.8708133971291866,0.8646080760095012,209.0,0.8783783783783784,0.8671497021324377,0.9722983853418636
冥王星,0.9097222222222222,0.8733333333333333,0.891156462585034,150.0,0.9629629629629628,0.9599785167418016,0.9989512398356464
土星,0.7142857142857143,0.7142857142857143,0.7142857142857143,35.0,0.841726618705036,0.8655994753813061,0.9745542563400427
太阳,0.7831325301204819,0.8783783783783784,0.8280254777070064,74.0,0.7358490566037735,0.8387651520162508,0.9628099173553719
天王星,0.941747572815534,0.8434782608695652,0.8899082568807339,115.0,0.62,0.7790566065880421,0.962780410742496
金星,0.7731958762886598,0.7978723404255319,0.7853403141361257,94.0,0.7978723404255319,0.8478286330625325,0.9712713723578367
macro avg,0.8252346430317452,0.8275982840479528,0.8239354452493854,1316.0,0.8275982840479528,0.8835345335775752,0.9779034511069679
weighted avg,0.847417676411274,0.8457446808510638,0.8452733981805339,1316.0,0.838957612108212,0.8832105767880492,0.9783077447519712
