图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,彗星-预测置信度,地球-预测置信度,木星-预测置信度,火星-预测置信度,水星-预测置信度,月球-预测置信度,海王星-预测置信度,冥王星-预测置信度,土星-预测置信度,太阳-预测置信度,天王星-预测置信度,金星-预测置信度
../image_acquisition/dataset_split\val\Comet\103.jpg,0,彗星,0,彗星,1,地球,6,海王星,True,0.99994373,2.9419829e-05,9.3218944e-07,1.2680459e-06,1.0835466e-07,2.4920978e-06,9.316398e-06,1.9844345e-08,2.7408007e-06,3.7886944e-06,2.8613408e-06,3.2901153e-06
../image_acquisition/dataset_split\val\Comet\113.jpg,0,彗星,0,彗星,6,海王星,10,天王星,True,0.9999987,1.232887e-08,5.593499e-09,5.6390905e-09,1.143304e-09,5.877589e-09,9.630502e-07,1.8715436e-10,3.067905e-08,5.362347e-08,1.6960581e-07,2.1153337e-08
../image_acquisition/dataset_split\val\Comet\115.jpg,0,彗星,0,彗星,8,土星,3,火星,True,0.99665666,5.021201e-05,2.1299358e-05,0.0010052866,1.235299e-05,8.273722e-05,0.00039082204,2.9860856e-05,0.0010967156,0.0006295115,1.2522225e-05,1.2036375e-05
../image_acquisition/dataset_split\val\Comet\117.jpg,0,彗星,0,彗星,5,月球,3,火星,True,0.99237376,1.5403655e-06,2.1709517e-05,0.0019825578,0.00022602727,0.0047932556,0.00015564686,1.5330109e-07,0.00030061835,0.00010267507,1.5611885e-06,4.0476105e-05
../image_acquisition/dataset_split\val\Comet\129.jpg,0,彗星,0,彗星,5,月球,8,土星,True,0.9999969,1.735287e-08,1.7370022e-08,2.3514282e-08,1.3931671e-08,2.2999893e-06,8.902781e-08,6.732147e-10,2.4021722e-07,1.9215285e-07,9.4339846e-08,4.026675e-08
../image_acquisition/dataset_split\val\Comet\131.jpg,0,彗星,0,彗星,8,土星,3,火星,True,0.99518687,8.052583e-05,3.3763914e-05,0.0012732699,1.75617e-05,0.00015200538,0.0005527658,4.3021595e-05,0.0017857151,0.0008393462,2.0166644e-05,1.5035923e-05
../image_acquisition/dataset_split\val\Comet\132.jpg,0,彗星,0,彗星,1,地球,9,太阳,True,0.99911493,0.00049029494,5.0852204e-06,7.277513e-06,1.7874481e-06,5.9374877e-05,6.081596e-05,3.242497e-07,1.7211645e-05,0.00020862817,1.1817189e-05,2.2315025e-05
../image_acquisition/dataset_split\val\Comet\135.jpg,0,彗星,0,彗星,8,土星,5,月球,True,0.9998572,4.5825473e-06,2.8315035e-06,3.8675662e-07,9.917535e-07,1.9190684e-05,5.597893e-06,9.540361e-08,0.00010044752,1.2698567e-06,3.2924954e-06,4.1838325e-06
../image_acquisition/dataset_split\val\Comet\146.jpg,0,彗星,0,彗星,6,海王星,1,地球,True,0.99914825,0.00018441226,2.3235032e-06,3.215704e-06,1.715487e-06,8.961202e-05,0.00026999082,5.7206597e-07,7.222839e-05,0.00012773012,7.712606e-05,2.2853972e-05
../image_acquisition/dataset_split\val\Comet\147.jpg,0,彗星,0,彗星,9,太阳,11,金星,True,0.8850257,0.00023724865,0.005579831,0.009432808,5.3284e-06,0.00018641104,0.0015150473,0.00014875739,0.018738896,0.05382161,0.00061973673,0.024688613
