epoch,batch,train_loss,train_accuracy
0,0,2.666788,0.125
1,1,1.8561485,0.4375
1,2,1.6469657,0.5
1,3,2.0384104,0.34375
1,4,2.184084,0.40625
1,5,1.1963246,0.625
1,6,2.3639777,0.375
1,7,1.7799541,0.53125
1,8,1.4765072,0.53125
1,9,1.4021802,0.5625
1,10,1.4875278,0.5
1,11,2.1845121,0.5
1,12,2.0031188,0.5
1,13,1.8255123,0.5
1,14,2.7532306,0.34375
1,15,2.203611,0.4375
1,16,3.229691,0.25
1,17,2.9538453,0.3125
1,18,2.1145225,0.46875
1,19,1.8102403,0.4375
1,20,1.6096601,0.59375
1,21,2.1077428,0.40625
1,22,1.6891117,0.4375
1,23,1.9287548,0.40625
1,24,2.1054225,0.28125
1,25,2.1013916,0.25
1,26,1.4174873,0.46875
1,27,1.8834982,0.4375
1,28,1.7095428,0.46875
1,29,1.8721579,0.4375
1,30,1.485698,0.53125
1,31,1.8485408,0.4375
1,32,2.0433428,0.4375
1,33,1.6967227,0.46875
1,34,2.2167838,0.34375
1,35,2.3958776,0.375
1,36,1.6881739,0.46875
1,37,1.7951821,0.40625
1,38,1.5214689,0.59375
1,39,1.815471,0.4375
1,40,1.6377136,0.5
1,41,2.1755877,0.3125
1,42,2.018926,0.3125
1,43,1.9559022,0.40625
1,44,1.8328929,0.34375
1,45,1.5505815,0.46875
1,46,1.5831192,0.46875
1,47,1.6455774,0.46875
1,48,1.67746,0.53125
1,49,1.8612721,0.3125
1,50,2.055888,0.375
1,51,1.4289565,0.5625
1,52,1.6912117,0.53125
1,53,1.4664229,0.59375
1,54,1.3048707,0.5
1,55,1.6215539,0.4375
1,56,1.5681646,0.4375
1,57,1.5985479,0.46875
1,58,1.9470643,0.4375
1,59,1.3355908,0.53125
1,60,1.5642352,0.40625
1,61,1.519018,0.53125
1,62,1.4771763,0.5625
1,63,1.8081949,0.34375
1,64,1.9474626,0.375
1,65,2.0361996,0.4375
1,66,1.3072736,0.59375
1,67,1.3996645,0.46875
1,68,1.9809669,0.34375
1,69,1.337451,0.53125
1,70,1.6914937,0.4375
1,71,2.1055737,0.375
1,72,1.8678987,0.34375
1,73,1.9318612,0.375
1,74,1.7652897,0.46875
1,75,1.3569074,0.5625
1,76,2.0439079,0.375
1,77,1.704186,0.375
1,78,2.381575,0.28125
1,79,1.9236935,0.4375
1,80,1.4755504,0.625
1,81,1.591967,0.46875
1,82,1.6714756,0.4375
